countryiso3code,date,FP.CPI.TOTL
AFG,2019-01-01,149.895975208032
AFG,2018-01-01,146.52248185721
AFG,2017-01-01,145.610741438593
AFG,2016-01-01,138.708665508891
AFG,2015-01-01,132.883209191418
AFG,2014-01-01,133.768366733582
ALB,2022-01-01,131.750834819418
ALB,2021-01-01,123.448662047404
ALB,2020-01-01,120.978911881374
ALB,2019-01-01,119.049258384382
ALB,2018-01-01,117.392740239274
ALB,2017-01-01,115.059269640307
ALB,2016-01-01,112.817958876089
ALB,2015-01-01,111.397164149808
ALB,2014-01-01,109.324187306059
DZA,2023-01-01,198.550857618244
DZA,2022-01-01,181.619931977783
DZA,2021-01-01,166.218894516626
DZA,2020-01-01,155.017250238567
DZA,2019-01-01,151.361667767746
DZA,2018-01-01,148.463994714821
DZA,2017-01-01,142.384203185789
DZA,2016-01-01,134.844870195013
DZA,2015-01-01,126.736646357875
DZA,2014-01-01,120.94986420025
AGO,2023-01-01,804.965533144132
AGO,2022-01-01,708.32143556848
AGO,2021-01-01,583.675779438661
AGO,2020-01-01,464.139837113465
AGO,2019-01-01,379.597607073274
AGO,2018-01-01,324.2180676186
AGO,2017-01-01,271.019765885988
AGO,2016-01-01,208.726444198045
AGO,2015-01-01,159.705710507375
AGO,2014-01-01,146.042056377604
ATG,2023-01-01,133.943906030246
ATG,2022-01-01,127.484109443389
ATG,2021-01-01,118.555594720979
ATG,2020-01-01,116.159233923762
ATG,2019-01-01,115.436612610656
ATG,2018-01-01,113.807620427883
ATG,2017-01-01,112.450169287899
ATG,2016-01-01,109.779789209262
ATG,2015-01-01,110.319735692442
ATG,2014-01-01,109.261003713412
ARM,2023-01-01,155.258355482585
ARM,2022-01-01,152.243300572606
ARM,2021-01-01,140.134410734876
ARM,2020-01-01,130.740891696593
ARM,2019-01-01,129.176007326748
ARM,2018-01-01,127.33795197859
ARM,2017-01-01,124.207629297981
ARM,2016-01-01,123.014933984404
ARM,2015-01-01,124.766161254862
ARM,2014-01-01,120.277766438018
ABW,2019-01-01,109.534355432857
ABW,2018-01-01,105.061405952227
ABW,2017-01-01,101.385138831048
ABW,2016-01-01,102.438495220917
ABW,2015-01-01,103.401364578457
ABW,2014-01-01,102.91277219904
AUS,2023-01-01,139.880332986472
AUS,2022-01-01,132.466181061394
AUS,2021-01-01,124.271592091571
AUS,2020-01-01,120.811654526535
AUS,2019-01-01,119.797086368366
AUS,2018-01-01,117.89802289282
AUS,2017-01-01,115.686784599376
AUS,2016-01-01,113.475546305931
AUS,2015-01-01,112.044745057232
AUS,2014-01-01,110.379812695109
AUT,2023-01-01,143.946494832533
AUT,2022-01-01,133.513565675464
AUT,2021-01-01,123.00084356117
AUT,2020-01-01,119.689435836364
AUT,2019-01-01,118.057980056249
AUT,2018-01-01,116.277886952829
AUT,2017-01-01,113.999739176771
AUT,2016-01-01,111.675472068849
AUT,2015-01-01,110.688581802368
AUT,2014-01-01,109.70500693326
AZE,2023-01-01,212.959661766667
AZE,2022-01-01,195.761197791667
AZE,2021-01-01,171.943182758333
AZE,2020-01-01,161.221472575
AZE,2019-01-01,156.891564325
AZE,2018-01-01,152.9
AZE,2017-01-01,149.508333333333
AZE,2016-01-01,132.383333333333
AZE,2015-01-01,117.733333333333
AZE,2014-01-01,113.175
BHS,2023-01-01,130.204684513872
BHS,2022-01-01,126.347404647515
BHS,2021-01-01,119.641038306054
BHS,2020-01-01,116.263679982958
BHS,2019-01-01,116.218911182281
BHS,2018-01-01,113.393999859543
BHS,2017-01-01,110.881574765532
BHS,2016-01-01,109.223338388445
BHS,2015-01-01,109.602977818188
BHS,2014-01-01,107.600021675885
BHR,2023-01-01,119.586099949687
BHR,2022-01-01,119.496930529675
BHR,2021-01-01,115.315875502436
BHR,2020-01-01,116.019323149199
BHR,2019-01-01,118.772111860491
BHR,2018-01-01,117.589374360011
BHR,2017-01-01,115.184698674791
BHR,2016-01-01,113.609258293
BHR,2015-01-01,110.529042157059
BHR,2014-01-01,108.522858827732
BGD,2023-01-01,237.199569600947
BGD,2022-01-01,215.864586624407
BGD,2021-01-01,200.437039174984
BGD,2020-01-01,189.905534708779
BGD,2019-01-01,179.679821747048
BGD,2018-01-01,170.164243384102
BGD,2017-01-01,161.226458913586
BGD,2016-01-01,152.529140322278
BGD,2015-01-01,144.558850888013
BGD,2014-01-01,136.126776861358
BRB,2023-01-01,170.890071679653
BRB,2022-01-01,155.64882826163
BRB,2019-01-01,134.091174070188
BRB,2018-01-01,128.809607088726
