countryiso3code,date,NY.GDP.MKTP.CD
AFE,2023-01-01,1236163044999.97
AFE,2022-01-01,1183962133998.87
AFE,2021-01-01,1086772164579.87
AFE,2020-01-01,929074086484.093
AFE,2019-01-01,1006527294483.09
AFE,2018-01-01,1012719339457.72
AFE,2017-01-01,940105480733.676
AFE,2016-01-01,829829959319.292
AFE,2015-01-01,899295676086.836
AFE,2014-01-01,979689662429.07
AFW,2023-01-01,796586157553.094
AFW,2022-01-01,877140805320.357
AFW,2021-01-01,845993047006.805
AFW,2020-01-01,787146719022.421
AFW,2019-01-01,823933630796.516
AFW,2018-01-01,768189587833.624
AFW,2017-01-01,685750159763.133
AFW,2016-01-01,692181085843.488
AFW,2015-01-01,769367317617.821
AFW,2014-01-01,894585438237.958
ARB,2023-01-01,3491516939569.88
ARB,2022-01-01,3613682354462.24
ARB,2021-01-01,2969116805615.58
ARB,2020-01-01,2576553324185.61
ARB,2019-01-01,2898668715645.56
ARB,2018-01-01,2865543585777.95
ARB,2017-01-01,2571053716382.94
ARB,2016-01-01,2499965913229.88
ARB,2015-01-01,2544136348540.18
ARB,2014-01-01,2905075942181.63
CSS,2023-01-01,53252637669.8953
CSS,2022-01-01,48138054138.9849
CSS,2021-01-01,36706592898.6925
CSS,2020-01-01,31378030000.782
CSS,2019-01-01,37621010338.3616
CSS,2018-01-01,36225416548.2006
CSS,2017-01-01,34921587493.3397
CSS,2016-01-01,33451252507.2663
CSS,2015-01-01,34538256117.6859
CSS,2014-01-01,33462282320.5238
CEB,2023-01-01,2252970882003.43
CEB,2022-01-01,1943576044705.41
CEB,2021-01-01,1908203520080.5
CEB,2020-01-01,1665817489087.96
CEB,2019-01-01,1674815945871.77
CEB,2018-01-01,1649014249607.31
CEB,2017-01-01,1461567745963.7
CEB,2016-01-01,1316821592128.16
CEB,2015-01-01,1293623329358.52
CEB,2014-01-01,1463823020682.85
EAR,2023-01-01,14847823837515.2
EAR,2022-01-01,14131148776107.2
EAR,2021-01-01,12771307369960.5
EAR,2020-01-01,10981013167791.7
EAR,2019-01-01,11767656585558.1
EAR,2018-01-01,11524427704062.7
EAR,2017-01-01,11393447781978.4
EAR,2016-01-01,10537028724316.6
EAR,2015-01-01,10237020101449.3
EAR,2014-01-01,10766609704140.0
EAS,2023-01-01,30775659199419.9
EAS,2022-01-01,30663750183419.1
EAS,2021-01-01,31148240510250.8
EAS,2020-01-01,27156482410418.4
EAS,2019-01-01,27032494942206.6
EAS,2018-01-01,26487859556590.8
EAS,2017-01-01,24329094912610.0
EAS,2016-01-01,22776012762509.5
EAS,2015-01-01,21995274219766.7
EAS,2014-01-01,22089701789223.8
EAP,2023-01-01,21150247849983.1
EAP,2022-01-01,21113809331055.5
EAP,2021-01-01,20840018387172.9
EAP,2020-01-01,17487334631867.3
EAP,2019-01-01,17213215781553.2
EAP,2018-01-01,16640354816152.1
EAP,2017-01-01,14881098135429.5
EAP,2016-01-01,13614572556661.5
EAP,2015-01-01,13323235973753.0
EAP,2014-01-01,12800187429285.8
TEA,2023-01-01,21124121301342.6
TEA,2022-01-01,21087707522778.0
TEA,2021-01-01,20814269278438.4
TEA,2020-01-01,17465773779184.1
TEA,2019-01-01,17192020073785.4
TEA,2018-01-01,16619890220308.8
TEA,2017-01-01,14862823962899.4
TEA,2016-01-01,13597889126598.8
TEA,2015-01-01,13306887306272.5
TEA,2014-01-01,12784467992142.2
EMU,2023-01-01,15544858680873.8
EMU,2022-01-01,14224347000135.6
EMU,2021-01-01,14754625131073.3
EMU,2020-01-01,13155164142399.1
EMU,2019-01-01,13481146122147.1
EMU,2018-01-01,13761117139592.9
EMU,2017-01-01,12736901061170.0
EMU,2016-01-01,12025904489799.8
EMU,2015-01-01,11727106023830.5
EMU,2014-01-01,13570070381398.8
ECS,2023-01-01,27240628835585.3
ECS,2022-01-01,25389267749916.0
ECS,2021-01-01,25331394418403.8
ECS,2020-01-01,22156549343244.9
ECS,2019-01-01,22908223277507.4
ECS,2018-01-01,23188735732226.2
ECS,2017-01-01,21652842504644.6
ECS,2016-01-01,20408605606979.3
ECS,2015-01-01,20481460301210.5
ECS,2014-01-01,23784373303750.2
ECA,2023-01-01,2098349713814.25
ECA,2022-01-01,1803038234535.2
ECA,2021-01-01,1659440839146.7
ECA,2020-01-01,1428327223229.53
ECA,2019-01-01,1488770219744.96
ECA,2018-01-01,1459981302399.66
ECA,2017-01-01,1485108260761.97
ECA,2016-01-01,1447395306947.53
ECA,2015-01-01,1507646946545.93
ECA,2014-01-01,1729714204725.05
TEC,2023-01-01,5466276097557.09
TEC,2022-01-01,5220065561112.43
TEC,2021-01-01,4623633114358.75
TEC,2020-01-01,3900798423599.77
TEC,2019-01-01,4159709661061.93
TEC,2018-01-01,4077637180273.38
TEC,2017-01-01,3909728235465.93
TEC,2016-01-01,3486198200219.98
TEC,2015-01-01,3627947465522.13
TEC,2014-01-01,4644397266377.62
EUU,2023-01-01,18349388450765.6
EUU,2022-01-01,16761496590765.2
EUU,2021-01-01,17315127119106.5
EUU,2020-01-01,15381418584246.1
EUU,2019-01-01,15694050310523.1
EUU,2018-01-01,15981445869808.9
EUU,2017-01-01,14765880176508.2
EUU,2016-01-01,13888833465037.9
EUU,2015-01-01,13553897260141.0
EUU,2014-01-01,15651372745918.6
FCS,2023-01-01,1906801170087.86
FCS,2022-01-01,1950006457159.66
FCS,2021-01-01,1796274437015.52
FCS,2020-01-01,1690930063237.89
FCS,2019-01-01,1842154935322.18
FCS,2018-01-01,1735183810120.25
FCS,2017-01-01,1549712150984.09
FCS,2016-01-01,1490633651211.68
FCS,2015-01-01,1617323277101.47
FCS,2014-01-01,2053788945066.26
HPC,2023-01-01,1130472157492.99
HPC,2022-01-01,981675388899.477
HPC,2021-01-01,902263213997.82
HPC,2020-01-01,811360288084.989
HPC,2019-01-01,803355942387.057
HPC,2018-01-01,774607047567.848
HPC,2017-01-01,724757996634.929
HPC,2016-01-01,674512464051.689
HPC,2015-01-01,667302120360.803
HPC,2014-01-01,694344337474.543
,2023-01-01,67653743404264.1
,2022-01-01,64444446480056.6
,2021-01-01,62461025675219.6
,2020-01-01,55791128824226.2
,2019-01-01,57218295248360.4
,2018-01-01,56684556889445.8
,2017-01-01,53336788717601.6
,2016-01-01,50737236574099.6
,2015-01-01,49773105280474.2
,2014-01-01,53310162826089.2
IBD,2023-01-01,38733043068564.9
IBD,2022-01-01,37733201523901.4
IBD,2021-01-01,35740404315658.1
IBD,2020-01-01,30103859045527.8
IBD,2019-01-01,31246593993598.4
IBD,2018-01-01,30579316565085.1
IBD,2017-01-01,28745223958869.0
IBD,2016-01-01,26027770587219.1
IBD,2015-01-01,25838353087075.7
IBD,2014-01-01,27592783808400.6
IBT,2023-01-01,41559721641424.8
IBT,2022-01-01,40566997900554.3
IBT,2021-01-01,38378968351134.2
IBT,2020-01-01,32528587315534.1
IBT,2019-01-01,33722356189565.9
IBT,2018-01-01,32964096579686.0
IBT,2017-01-01,30960119365364.0
IBT,2016-01-01,28169507573194.1
IBT,2015-01-01,27987288576613.1
IBT,2014-01-01,29800896836060.0
IDB,2023-01-01,1044015231915.96
IDB,2022-01-01,1183656384165.71
IDB,2021-01-01,1104603036389.8
