countryiso3code,date,NY.GDP.MKTP.CD,FP.CPI.TOTL,SL.UEM.TOTL.ZS
AFG,2019-01-01,18799444490.1128,149.895975208032,11.224
AFG,2018-01-01,18053222687.4126,146.52248185721,11.206
AFG,2017-01-01,18753456497.8159,145.610741438593,11.184
AFG,2016-01-01,18116572395.0772,138.708665508891,10.1
AFG,2015-01-01,19134221644.7325,132.883209191418,9.011
AFG,2014-01-01,20497128555.6972,133.768366733582,7.915
ALB,2022-01-01,18916378860.5488,131.750834819418,11.588
ALB,2021-01-01,17930565118.8176,123.448662047404,12.473
ALB,2020-01-01,15162734205.2462,120.978911881374,12.79
ALB,2019-01-01,15401826127.2539,119.049258384382,11.466
ALB,2018-01-01,15156424015.1977,117.392740239274,12.304
ALB,2017-01-01,13019726211.7369,115.059269640307,13.616
ALB,2016-01-01,11861199830.8396,112.817958876089,15.418
ALB,2015-01-01,11386853113.0189,111.397164149808,17.193
ALB,2014-01-01,13228147516.1168,109.324187306059,18.055
DZA,2023-01-01,239899491127.742,198.550857618244,11.814
DZA,2022-01-01,225560256621.757,181.619931977783,12.437
DZA,2021-01-01,186265418570.697,166.218894516626,13.607
DZA,2020-01-01,164873415325.201,155.017250238567,14.04
DZA,2019-01-01,193459662090.677,151.361667767746,12.285
DZA,2018-01-01,194554483655.528,148.463994714821,12.15
DZA,2017-01-01,189880896903.073,142.384203185789,12.0
DZA,2016-01-01,180763839522.151,134.844870195013,10.202
DZA,2015-01-01,187493855609.345,126.736646357875,11.206
DZA,2014-01-01,238942664192.59,120.94986420025,10.207
AGO,2023-01-01,84722957642.3757,804.965533144132,14.62
AGO,2022-01-01,104399746853.401,708.32143556848,14.693
AGO,2021-01-01,66505129987.7235,583.675779438661,15.799
AGO,2020-01-01,48501561203.5686,464.139837113465,16.676
AGO,2019-01-01,70897962732.0277,379.597607073274,16.497
AGO,2018-01-01,79450688259.3664,324.2180676186,16.599
AGO,2017-01-01,73690154990.7312,271.019765885988,16.617
AGO,2016-01-01,52761617225.9253,208.726444198045,16.58
AGO,2015-01-01,90496420506.5957,159.705710507375,16.491
AGO,2014-01-01,135966802586.713,146.042056377604,16.401
ARM,2023-01-01,24212134631.064,155.258355482585,8.586
ARM,2022-01-01,19513474648.2429,152.243300572606,8.608
ARM,2021-01-01,13878908628.9378,140.134410734876,10.012
ARM,2020-01-01,12641698583.2152,130.740891696593,12.18
ARM,2019-01-01,13619290539.2116,129.176007326748,12.2
ARM,2018-01-01,12457940694.7395,127.33795197859,13.212
ARM,2017-01-01,11527458709.0158,124.207629297981,12.968
ARM,2016-01-01,10546136235.5219,123.014933984404,12.732
ARM,2015-01-01,10553337518.414,124.766161254862,12.468
ARM,2014-01-01,11609513246.7958,120.277766438018,12.201
AUS,2023-01-01,1723827215334.71,139.880332986472,3.667
AUS,2022-01-01,1692956646855.7,132.466181061394,3.701
AUS,2021-01-01,1559033756285.13,124.271592091571,5.116
